eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
us20005iis,4/15/16,2016,7,"1km E of Kumamoto-shi, Japan",400,400000,1,,511.3578,1298.5437,199.2121,422.7492,,,,0,0,0,0,0
us20005j32,4/16/16,2016,7.8,"27km SSE of Muisne, Ecuador",2500,260000,1,,875.9396,2999.2828,193.7386,674.1011,,,,0,0,0,0,0
us2000ahv0,9/8/17,2017,8.2,"101km SSW of Tres Picos, Mexico",1600,150000,1,,360.9705,773.651,111.0022,388.2885,,,,0,0,0,0,0
us2000ar20,9/19/17,2017,7.1,"1km E of Ayutla, Mexico",170,640000,1,,619.2116,6990.5911,204.5408,1621.449,,,,0,0,0,0,0
us2000bmcg,11/12/17,2017,7.3,"29km S of Halabjah, Iraq",150,23000,1,,1373.3528,18078.5577,204.5176,4140.919,,,,0,0,0,0,0
us2000bmhe,11/13/17,2017,6.5,"18km W of Parrita, Costa Rica",58,4200,1,,68.6774,186.1319,61.9786,192.3555,,,,0,0,0,0,0
us2000cmy3,1/23/18,2018,7.9,"280km SE of Kodiak, Alaska",0,0,1,,0,0,0,0,,,,0,0,0,0,1
us2000d7q6,2/25/18,2018,7.5,"83km SW of Porgera, Papua New Guinea",2300,28000,1,,2167.8428,6173.1158,269.0103,1291.5005,,,,0,0,0,0,0
us2000h8ty,9/5/18,2018,6.6,"27km ENE of Tomakomai, Japan",220,120000,1,,242.55,1067.909,39.5438,274.713,,,,0,0,0,0,0
us70006vll,1/7/20,2020,6.4,"13 km SSE of Maria Antonia, Guánica, PR",15,3300,1,,40.4073,413.0625,22.0425,388.5227,,,,0,0,0,0,0
us70008jr5,3/31/20,2020,6.5,"70 km W of Challis, Idaho, ",0.87,0,1,,73.6472,1828.4998,6.1013,199.5694,0,0,0,0,0,0,0,1
usb000gcdd,4/20/13,2013,6.6,"56km WSW of Linqiong, China",30,32000,1,,367.1046,5876.5793,76.2632,826.6856,,,,0,0,0,0,0
usb000i4re,7/2/13,2013,6.1,"55km S of Bireun, Indonesia",0.34,170,1,,53.5428,1553.8567,8.5881,403.9128,,,,0,0,0,0,0
